Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,Fiyat
55 M2,1+1,Yüksek Giriş,Kombi Doğalgaz,1.481.000
48 M2,1+1,1.Kat,Kombi Doğalgaz,1.575.000
88 M2,2+1,2.Kat,Merkezi Doğalgaz,1.875.000
50 M2,1+1,Yüksek Giriş,Kombi Doğalgaz,1.425.000
225 M2,4+1,3,Boş,7.250.000
125 M2,3+1,5.Kat,Kombi Doğalgaz,1.865.000
44 M2,1+1,2.Kat,Kombi Doğalgaz,1.380.000
290 M2,1 Oda,4,Boş,4.650.000
112 M2,3+1,2.Kat,Kombi Doğalgaz,2.000.000
12 M2,3+1,2.Kat,Kombi Doğalgaz,2.900.000
85 M2,2+1,Düz Giriş (Zemin),Isıtma Yok,1.850.000
120 M2,3+1,2.Kat,Kombi Doğalgaz,2.960.000
100 M2,2+1,Çatı Katı,Kombi Doğalgaz,1.610.000
90 M2,2+1,3.Kat,Kombi Doğalgaz,2.150.000
95 M2,2+1,2.Kat,Kombi Doğalgaz,1.575.000
95 M2,2+1,3.Kat,Kombi Doğalgaz,2.700.000
66 M2,1+1,2.Kat,Kombi Doğalgaz,1.590.000
120 M2,3+1,2.Kat,Kombi Doğalgaz,2.600.000
120 M2,3+1,2.Kat,Kombi Doğalgaz,2.350.000
100 M2,2+1,4.Kat,Kombi Doğalgaz,1.610.000
80 M2,2+1,2.Kat,Kombi Doğalgaz,2.750.000
80 M2,2+1,2.Kat,Kombi Doğalgaz,2.750.000
36 M2,1+1,3.Kat,Kombi Doğalgaz,1.420.000
150 M2,4+1,4.Kat,Kombi Doğalgaz,3.475.000
85 M2,2+1,3.Kat,Yerden Isıtma,2.700.000
110 M2,3+1,1.Kat,Kombi Doğalgaz,3.300.000
120 M2,3+1,4.Kat,Kombi Doğalgaz,3.090.000
125 M2,3+1,4.Kat,Kombi Doğalgaz,3.100.000
120 M2,3+1,3.Kat,Kombi Doğalgaz,1.825.000
115 M2,3+1,4.Kat,Kombi Doğalgaz,2.490.000
80 M2,2+1,2.Kat,Kombi Doğalgaz,2.750.000
140 M2,3+1,2.Kat,Merkezi Doğalgaz,3.050.000
